"","X","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","REGION","lon","lat"
"63",63,"CERTIFIED","BATTELLE","NON-TECHNICAL","POST DOCTORATE RESEARCH ASSOCIATE","Y",47653,2011,"RICHLAND, WASHINGTON"," WEST",-119.2844621,46.2856907
"64",64,"CERTIFIED","TRINITY HEALTH","TECHNICAL","MEDICAL TECHNOLOGIST","Y",41288,2011,"MINOT, NORTH DAKOTA"," MID WEST",-101.2922906,48.2329668
"65",65,"DENIED","REEL FX, INC","NON-TECHNICAL","PRODUCER","Y",94494,2011,"DALLAS, TEXAS"," SOUTH",-96.7969879,32.7766642
"66",66,"CERTIFIED","PRAIRIE VIEW A&M UNIVERSITY","TECHNICAL","DIRECTOR, BUSINESS AFFAIRS INFO RESOURCES & WEBMAS","Y",97282,2011,"PRAIRIE VIEW, TEXAS"," SOUTH",-95.9877339,30.0932737
"67",67,"CERTIFIED","JPMORGAN CHASE & CO.","NON-TECHNICAL","MARKETING SENIOR ANALYST, AVP","Y",68099,2011,"COLUMBUS, OHIO"," MID WEST",-82.9987942,39.9611755
"68",68,"CERTIFIED","GOOGLE INC.","NON-TECHNICAL","STRATEGIC PARTNER MANAGER","Y",67288,2011,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"70",70,"DENIED","CRESTWOOD CAR & LIMOUSINE SERVICES LTD.","NON-TECHNICAL","MARKETING ANALYST","Y",44616,2011,"FRESH MEADOWS, NEW YORK"," NORTH EAST",-73.7801447,40.7335179
"71",71,"CERTIFIED","UNIVERSITY OF CALIFORNIA, BERKELEY","NON-TECHNICAL","ASSOCIATE SPECIALIST","Y",33592,2011,"BERKELEY, CALIFORNIA"," WEST",-122.272747,37.8715926
"72",72,"CERTIFIED","APPLIED STRATEGIES CONSULTING, LLC","TECHNICAL","BUSINESS STRATEGY ANALYST","Y",64106,2011,"SAN MATEO, CALIFORNIA"," WEST",-122.3255254,37.5629917
"73",73,"CERTIFIED","COMPREHENSIVE HEALTHCARE MEDICAL P.C.","NON-TECHNICAL","PHYSICAL THERAPIST","Y",64459.2,2011,"FLUSHING, NEW YORK"," NORTH EAST",-73.833079,40.7674987
"74",74,"DENIED","DOON TECHNOLOGIES, INC","TECHNICAL","PROGRAMMER ANALYST","Y",67122,2011,"FORT WORTH, TEXAS"," SOUTH",-97.3307658,32.7554883
"75",75,"CERTIFIED","ABERDEEN LLC.","TECHNICAL","ELECTRICAL ENGINEER, R&D","Y",47382.4,2011,"SANTA FE SPRINGS, CALIFORNIA"," WEST",-118.0853451,33.9472359
"76",76,"CERTIFIED","JPMORGAN CHASE & CO.","NON-TECHNICAL","RISK MODELER I - AVP","Y",82826,2011,"COLUMBUS, OHIO"," MID WEST",-82.9987942,39.9611755
"77",77,"CERTIFIED","FOR YOUR STAFFING INC.","NON-TECHNICAL","PHYSICAL THERAPIST","Y",64459.2,2011,"BRONX, NEW YORK"," NORTH EAST",-73.8648268,40.8447819
"78",78,"CERTIFIED","PIONEER TECHNOLOGIES INC","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",51854,2011,"IRVING, TEXAS"," SOUTH",-96.9488945,32.8140177
"79",79,"CERTIFIED","BATTELLE","TECHNICAL","POST MASTERS RESEARCH ASSOCIATE","Y",36629,2011,"RICHLAND, WASHINGTON"," WEST",-119.2844621,46.2856907
"80",80,"CERTIFIED","TEXAS MOON GROUP, INC.","NON-TECHNICAL","GENERAL MANAGER","N",57345.6,2011,"DALLAS, TEXAS"," SOUTH",-96.7969879,32.7766642
"81",81,"DENIED","SCIENTECH ENGINEERING, INC.","TECHNICAL","CIVIL ENGINEERING","Y",59446,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"82",82,"CERTIFIED","LINKEDIN CORPORATION","NON-TECHNICAL","SENIOR PRODUCT MARKETING MANAGER","Y",126880,2011,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"83",83,"CERTIFIED","INTELLIGROUP, INC.","TECHNICAL","PROJECT MANAGER","Y",83075,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"84",84,"CERTIFIED","ENTERPRISE SOLUTIONS CONSULTING, LLC","TECHNICAL","SENIOR PROGRAMMER","Y",53102,2011,"WEBSTER, NEW YORK"," NORTH EAST",-77.4299939,43.2122851
"85",85,"CERTIFIED","JPMORGAN CHASE & CO.","NON-TECHNICAL","DATABASE MANAGEMENT ANALYST - AVP","Y",95784,2011,"ISELIN, NEW JERSEY"," NORTH EAST",-74.3223703,40.5753817
"86",86,"CERTIFIED","NEOTECH SOLUTIONS, INC.","NON-TECHNICAL","CLINICAL DATA ANALYST","Y",60840,2011,"SOUTH PLAINFIELD, NEW JERSEY"," NORTH EAST",-74.4115401,40.5792701
"87",87,"CERTIFIED","UNITED STAFFING REGISTRY, INC.","NON-TECHNICAL","RESEARCH ASSOCIATE/QA EXECUTIVE","Y",74880,2011,"ELMHURST, NEW YORK"," NORTH EAST",-73.8801301,40.737975
"88",88,"CERTIFIED","PITCH, INC.","NON-TECHNICAL","DESIGNER","Y",33093,2011,"CULVER CITY, CALIFORNIA"," WEST",-118.3964665,34.0211224
"89",89,"CERTIFIED","TECH POINT SOLUTIONS,INC","TECHNICAL","PROGRAMMER ANALYST","Y",79102,2011,"MILPITAS, CALIFORNIA"," WEST",-121.8995741,37.4323341
"90",90,"CERTIFIED","TECH MAHINDRA (AMERICAS), INC.","NON-TECHNICAL","SALES ENGINEER","Y",116667,2011,"PARSIPPANY, NEW JERSEY"," NORTH EAST",-74.4173877,40.8652865
"91",91,"DENIED","INSTITUTE OF CALIFORNIA, LLC","NON-TECHNICAL","MEDICAL INTENSIVE CARE UNIT ASSISTANT MANAGER","Y",62712,2011,"LOS ANGELES, CALIFORNIA"," WEST",-118.2436849,34.0522342
"92",92,"CERTIFIED","SQA CONCEPTS INC","TECHNICAL","COMPUTER PROGRAMMER /  ANALYST","Y",52478,2011,"PARAMUS, NEW JERSEY"," NORTH EAST",-74.0754189,40.9445428
"93",93,"DENIED","RUDOLPH AND SLETTEN, INC.","TECHNICAL","PROJECT ENGINEER","Y",66165,2011,"IRVINE, CALIFORNIA"," WEST",-117.7946942,33.6839473
"95",95,"DENIED","PARKER TIDE CORP","NON-TECHNICAL","POST DOCTORAL FELLOW","Y",62067.2,2011,"WASHINGTON, DISTRICT OF COLUMBIA"," SOUTH",-77.0368707,38.9071923
"96",96,"CERTIFIED","COMPULINK MANAGEMENT CENTER, INC.","TECHNICAL","SOFTWARE ENGINEER","Y",60882,2011,"LONG BEACH, CALIFORNIA"," WEST",-118.1937395,33.7700504
"97",97,"CERTIFIED","OSCAR DE LA RENTA, LLC","NON-TECHNICAL","INTERNATIONAL SALES MANAGER","Y",79165,2011,"NEW YORK, NEW YORK"," NORTH EAST",-74.0059413,40.7127837
"98",98,"CERTIFIED","INFINITE SPECTRUM SOLUTIONS INC","TECHNICAL","SYSTEMS ENGINEER","Y",68536,2011,"SAN DIEGO, CALIFORNIA"," WEST",-117.1610838,32.715738
"99",99,"CERTIFIED","ANRITSU COMPANY","TECHNICAL","SENIOR SOFTWARE ENGINEER","Y",87443,2011,"RICHARDSON, TEXAS"," SOUTH",-96.7298519,32.9483335
"100",100,"CERTIFIED","MOLINA HEALTHCARE, INC.","TECHNICAL","SOFTWARE QA ANALYST","Y",72197,2011,"LONG BEACH, CALIFORNIA"," WEST",-118.1937395,33.7700504
"101",101,"CERTIFIED","CYPRESS SEMICONDUCTOR CORPORATION","NON-TECHNICAL","IT ENGINEER SENIOR","Y",64251,2011,"LEXINGTON, KENTUCKY"," SOUTH",-84.5037164,38.0405837
"102",102,"CERTIFIED","GREENBERG QUALITATIVE RESEARCH, INC.","NON-TECHNICAL","QUANTITATIVE STRATEGIST","Y",79872,2011,"EMERYVILLE, CALIFORNIA"," WEST",-122.2852473,37.831316
"103",103,"CERTIFIED","MOLINA HEALTHCARE, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",84822,2011,"LONG BEACH, CALIFORNIA"," WEST",-118.1937395,33.7700504
"104",104,"CERTIFIED","ASML US, INC.","TECHNICAL","ENGINEER","Y",74027,2011,"SANTA CLARA, CALIFORNIA"," WEST",-121.9552356,37.3541079
"105",105,"DENIED","TRINITY HEALTH","NON-TECHNICAL","REGISTERED NURSE","Y",46883.2,2011,"MINOT, NORTH DAKOTA"," MID WEST",-101.2922906,48.2329668
"106",106,"CERTIFIED","A PLUS FABRICS, INC.","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",59592,2011,"LOS ANGELES, CALIFORNIA"," WEST",-118.2436849,34.0522342
"108",108,"CERTIFIED","KAL KRISHNAN CONSULTING SERVICES, INC.","TECHNICAL","PROJECT CONTROLS SPECIALIST","Y",86611.2,2011,"CUPERTINO, CALIFORNIA"," WEST",-122.0321823,37.3229978
"110",110,"CERTIFIED","TEXAS INSTRUMENTS INCORPORATED","TECHNICAL","APPLICATIONS ENGINEER","Y",80059,2011,"DALLAS, TEXAS"," SOUTH",-96.7969879,32.7766642
"111",111,"DENIED","SAGE IT, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",589606,2011,"VALHALLA, NEW YORK"," NORTH EAST",-73.7751326,41.0748188
"112",112,"CERTIFIED","INTERVENT INTERNATIONAL, LLC","NON-TECHNICAL","LIFESTYLE HEALTH COACH","N",28891.2,2011,"BALTIMORE, MARYLAND"," SOUTH",-76.6121893,39.2903848
"113",113,"CERTIFIED","INVENGER TECHNOLOGIES, INC.","TECHNICAL","PROGRAMMER / ANALYST","Y",57283,2011,"SIMI VALLEY, CALIFORNIA"," WEST",-118.781482,34.2694474
"114",114,"CERTIFIED","SAXON GLOBAL, INC.","TECHNICAL","SYSTEMS ANALYST","Y",51854,2011,"IRVING, TEXAS"," SOUTH",-96.9488945,32.8140177
"115",115,"CERTIFIED","SERIOUS ENERGY, INC.","NON-TECHNICAL","MATERIALS CHEMIST","Y",87277,2011,"SUNNYVALE, CALIFORNIA"," WEST",-122.0363496,37.36883
"116",116,"CERTIFIED","SYMANTEC CORPORATION","TECHNICAL","PRINCIPAL IT APPLICATIONS SPECIALIST","Y",95786,2011,"MOUNTAIN VIEW, CALIFORNIA"," WEST",-122.0838511,37.3860517
"117",117,"CERTIFIED","CENTRAL CONSOLIDATED SCHOOL DISTRICT #22","NON-TECHNICAL","PUBLIC SCHOOL TEACHER","Y",36480,2011,"SHIPROCK, NEW MEXICO"," WEST",-108.6870322,36.7855543
"118",118,"CERTIFIED","MOLINA HEALTHCARE, INC.","TECHNICAL","MANAGER, IT","Y",134285,2011,"LONG BEACH, CALIFORNIA"," WEST",-118.1937395,33.7700504
"119",119,"CERTIFIED","ROVI CORPORATION","NON-TECHNICAL","SENIOR SOFTWARE ENGINEER","Y",85572,2011,"SAN DIEGO, CALIFORNIA"," WEST",-117.1610838,32.715738
"120",120,"CERTIFIED","KPMG LLP","TECHNICAL","PROJECT MANAGER DEVELOPMENT","Y",89939,2011,"MONTVALE, NEW JERSEY"," NORTH EAST",-74.0229173,41.0467635
"121",121,"CERTIFIED","SATYAM COMPUTER SERVICES LTD.","TECHNICAL","COMPUTER PROGRAMMER","Y",55952,2011,"KETTERING, OHIO"," MID WEST",-84.1688274,39.6895036
"122",122,"CERTIFIED","WEATHERFORD INTERNATIONAL INC.","TECHNICAL","SOFTWARE DEPLOYMENT ENGINEER 11","Y",62150,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"123",123,"CERTIFIED","CONVERPACK INC","NON-TECHNICAL","COST ACCOUNTANT","Y",56326,2011,"MEDLEY, FLORIDA"," SOUTH",-80.3264404,25.8406526
"124",124,"CERTIFIED","FOXCONN ASSEMBLY LLC","TECHNICAL","TEST ENGINEER","Y",49525,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"125",125,"DENIED","CALVANO CONCRETE CONSTRUCTION COMPANY LLC","TECHNICAL","ADMINSTRATOR/TRANSLATOR","Y",35360,2011,"BALTIMORE, MARYLAND"," SOUTH",-76.6121893,39.2903848
"126",126,"CERTIFIED","SAGE IT, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",67122,2011,"FRISCO, TEXAS"," SOUTH",-96.8236116,33.1506744
"127",127,"DENIED","OPPORTUNITY UNLIMITED","NON-TECHNICAL","SPECIAL ADULT BASIC EDUCATIONAL INSTRUCTOR","Y",43110,2011,"SAN FRANCISCO, CALIFORNIA"," WEST",-122.4194155,37.7749295
"128",128,"CERTIFIED","MEDIASTORM LLC","NON-TECHNICAL","EDITOR","N",43305.6,2011,"BROOKLYN, NEW YORK"," NORTH EAST",-73.9441579,40.6781784
"129",129,"CERTIFIED","SAGE IT, INC.","TECHNICAL","SYSTEMS ANALYST","Y",67122,2011,"FRISCO, TEXAS"," SOUTH",-96.8236116,33.1506744
"130",130,"CERTIFIED","SYMBIOUN TECHNOLOGIES, INC.","NON-TECHNICAL","PROGRAMMER ANALYST","Y",64938,2011,"MANHASSET, NEW YORK"," NORTH EAST",-73.6995749,40.7978787
"132",132,"CERTIFIED","SMALLARC, INC.","TECHNICAL","PROGRAMMER ANALYST","Y",50960,2011,"MIAMI, FLORIDA"," SOUTH",-80.1917902,25.7616798
"133",133,"CERTIFIED","SYMBIOUN TECHNOLOGIES, INC.","NON-TECHNICAL","QUALITY ASSURANCE ANALYST","Y",53061,2011,"AUSTIN, TEXAS"," SOUTH",-97.7430608,30.267153
"134",134,"CERTIFIED","SCALAR USA, INC.","TECHNICAL","PROGRAMMER ANALYST / SAP ARCHITECT","Y",76690,2011,"EAST LANSING, MICHIGAN"," MID WEST",-84.4838654,42.7369792
"136",136,"CERTIFIED","INCANDESCENT TECHNOLOGIES INCORPORATED","TECHNICAL","SENIOR ETL DEVELOPER","Y",85530,2011,"JERSEY CITY, NEW JERSEY"," NORTH EAST",-74.0776417,40.7281575
"137",137,"CERTIFIED","ALFA GL, INC.","TECHNICAL","SOFTWARE DEVELOPER","Y",43202,2011,"MIAMI, FLORIDA"," SOUTH",-80.1917902,25.7616798
"138",138,"CERTIFIED","ORION SYSTEMS INTEGRATORS, INC","TECHNICAL","PROGRAMMER ANALYST","Y",50128,2011,"CHICAGO, ILLINOIS"," MID WEST",-87.6297982,41.8781136
"139",139,"CERTIFIED","VENTYX, INC.","TECHNICAL","QA ANALYST","Y",49525,2011,"HOUSTON, TEXAS"," SOUTH",-95.3698028,29.7604267
"140",140,"CERTIFIED","ALFA GL, INC.","TECHNICAL","SOFTWARE DEVELOPER","Y",43202,2011,"MIAMI, FLORIDA"," SOUTH",-80.1917902,25.7616798
"141",141,"CERTIFIED","ORION SYSTEMS INTEGRATORS, INC","TECHNICAL","BUSINESS ANALYST/SYSTEMS ANALYST","Y",58906,2011,"WOODCLIFF LAKE, NEW JERSEY"," NORTH EAST",-74.0665297,41.0234304
"142",142,"CERTIFIED","BRISTOL-MYERS SQUIBB COMPANY","NON-TECHNICAL","MEDICAL DIRECTOR, HQ MEDICAL IMMUNOLOGY - EARLY AS","Y",152402,2011,"LAWRENCEVILLE, NEW JERSEY"," NORTH EAST",-74.7361013,40.3016375
"143",143,"DENIED","PSG PROFESSIONAL CORPORATION","NON-TECHNICAL","ACCOUNTANT","Y",26395.2,2011,"SAIPAN, NA"," NA",145.7297891,15.1515153
"145",145,"DENIED","DENTAL CARE INC.","NON-TECHNICAL","DENTISTS, GENERAL","Y",71989,2011,"SAIPAN, NA"," NA",145.7297891,15.1515153
"146",146,"DENIED","INTRAEDGE, INC.","TECHNICAL","COMPUTER SYSTEMS ANALYST","Y",56056,2011,"COLUMBIA, MARYLAND"," SOUTH",-76.8610462,39.2037144
"147",147,"CERTIFIED","INSPIRAGE, LLC","TECHNICAL","COMPUTER AND INFORMATION SYSTEMS MANAGER","Y",108139,2011,"DAVIDSON, NORTH CAROLINA","SOUTH",-80.8486846,35.4993031
